subject_nickname,sessions
CSHL045,46
CSHL046,36
CSHL047,29
CSHL049,16
CSHL051,19
CSHL052,45
CSHL053,20
CSHL054,22
CSHL055,33
CSHL058,14
CSHL059,16
CSHL060,17
CSHL_001,42
CSHL_002,22
CSHL_003,17
CSHL_004,43
CSHL_005,14
CSHL_006,58
CSHL_007,10
CSHL_008,12
CSHL_010,14
CSHL_012,27
CSHL_014,13
CSHL_015,14
CSH_ZAD_001,18
CSH_ZAD_002,9
CSH_ZAD_003,8
CSH_ZAD_004,10
CSH_ZAD_005,15
CSH_ZAD_006,9
CSH_ZAD_007,4
CSH_ZAD_010,4
CSH_ZAD_011,27
CSH_ZAD_015,36
CSH_ZAD_017,16
CSH_ZAD_018,46
CSH_ZAD_019,41
CSH_ZAD_021,39
CSH_ZAD_022,11
CSH_ZAD_023,27
CSH_ZAD_024,29
CSH_ZAD_025,11
CSH_ZAD_026,14
CSH_ZAD_027,21
CSH_ZAD_028,49
CSH_ZAD_029,11
DY_001,7
DY_002,19
DY_003,8
DY_005,24
DY_006,7
DY_007,4
DY_008,11
DY_009,6
DY_010,4
DY_011,5
DY_013,12
DY_014,14
DY_015,31
DY_016,9
DY_017,6
DY_018,18
DY_019,5
DY_020,25
IBL-T1,11
IBL-T2,13
IBL-T3,14
IBL-T4,26
IBL_001,48
IBL_002,27
KS002,49
KS004,48
KS005,34
KS014,14
KS015,5
KS016,19
KS017,20
KS018,38
KS019,25
KS020,31
KS021,15
KS022,16
KS023,6
KS024,10
KS025,7
KS036,25
KS037,16
KS038,28
KS041,26
KS042,18
KS043,50
KS044,16
KS045,24
KS046,22
KS051,27
KS052,32
KS053,26
KS054,25
KS059,37
KS071,51
KS074,16
KS075,34
KS079,31
KS080,38
KS082,26
KS083,34
KS084,11
KS085,18
KS086,32
KS087,20
KS089,34
KS092,14
KS094,9
NR_0005,8
NR_0006,16
NR_0008,5
NR_0009,3
NR_0010,33
NR_0011,20
NR_0012,3
NR_0013,3
NR_0014,14
NR_0017,25
NR_0018,13
NR_0019,20
NR_0020,12
NYU-01,18
NYU-02,9
NYU-04,24
NYU-06,11
NYU-07,58
NYU-09,19
NYU-11,28
NYU-12,18
NYU-13,18
NYU-14,33
NYU-20,10
NYU-21,13
NYU-23,28
NYU-25,39
NYU-26,35
NYU-27,34
NYU-29,14
NYU-30,10
NYU-37,21
NYU-39,12
NYU-40,12
NYU-45,4
NYU-46,3
NYU-47,8
NYU-48,4
NYU-54,7
NYU-58,10
PL003,66
PL004,93
PL011,14
PL012,18
PL013,41
PL016,26
PL017,6
PL018,14
PL019,24
PL022,9
PL023,8
PL024,6
PL025,8
PL026,6
PL027,12
PL028,15
PL029,17
PL030,8
PL031,14
PL032,8
PL033,10
SWC_001,44
SWC_013,21
SWC_014,21
SWC_015,25
SWC_017,45
SWC_018,25
SWC_021,23
SWC_022,16
SWC_023,12
SWC_038,20
SWC_039,24
SWC_040,48
SWC_041,84
SWC_042,16
SWC_043,39
SWC_050,31
SWC_052,36
SWC_053,30
SWC_054,19
SWC_055,58
SWC_057,14
SWC_060,15
SWC_061,10
SWC_062,24
SWC_063,22
SWC_064,26
SWC_065,23
UCLA004,40
UCLA005,3
UCLA006,13
UCLA007,11
UCLA008,3
UCLA009,31
UCLA010,45
UCLA011,7
UCLA012,14
UCLA013,29
UCLA014,13
UCLA015,26
UCLA016,21
UCLA017,36
UCLA020,20
UCLA022,10
UCLA029,26
UCLA030,39
UCLA031,11
UCLA033,34
UCLA034,9
UCLA035,12
UCLA036,11
UCLA037,7
UCLA043,11
UCLA044,21
UCLA045,21
UCLA046,13
UCLA047,6
UCLA050,9
UCLA051,7
UCLA053,15
ZFM-01575,36
ZFM-01576,43
ZFM-01577,14
ZFM-01592,8
ZFM-01594,17
ZFM-01933,16
ZFM-01934,5
ZFM-01935,23
ZFM-01936,15
ZFM-01937,34
ZFM-01938,11
ZFM-02368,16
ZFM-02369,9
ZFM-02370,5
ZFM-02371,35
ZFM-02372,20
ZFM-02373,17
ZFM-03841,27
ZFM-03843,35
ZFM-04307,37
ZM_1084,7
ZM_1085,8
ZM_1086,7
ZM_1087,6
ZM_1089,9
ZM_1091,11
ZM_1092,9
ZM_1093,6
ZM_1095,15
ZM_1097,9
ZM_1098,8
ZM_1367,28
ZM_1369,16
ZM_1371,17
ZM_1372,22
ZM_1373,12
ZM_1743,14
ZM_1745,15
ZM_1746,6
ZM_1897,8
ZM_1898,31
ZM_1928,11
ZM_2106,34
ZM_2107,10
ZM_2240,9
ZM_2241,21
ZM_2245,15
ZM_3001,21
ZM_3002,11
ZM_3003,18
ZM_3004,8
ZM_3006,11
ibl_witten_02,25
ibl_witten_03,9
ibl_witten_04,10
ibl_witten_05,27
ibl_witten_06,12
ibl_witten_07,50
ibl_witten_12,7
ibl_witten_13,13
ibl_witten_14,7
ibl_witten_15,23
ibl_witten_16,15
ibl_witten_17,9
ibl_witten_18,41
ibl_witten_19,9
ibl_witten_20,20
ibl_witten_21,31
ibl_witten_23,21
ibl_witten_24,43
ibl_witten_25,10
ibl_witten_26,28
ibl_witten_27,29
ibl_witten_28,25
ibl_witten_29,11
ibl_witten_30,29
ibl_witten_31,7
ibl_witten_32,14
